"psu","sp.map","county","spid","segment","icf1","icf2","icf2a.1","icf2a.2","icf2a.3","icf2a.4","icf2a.5","icf2a.6","icf2a.7","icf2a.8","icf2a.9","icf2a.10","icf2a.11","icf3"
"216202","216",2,16,202,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"216202","216",2,16,202,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"216206","216",2,16,206,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"222279","222",2,22,279,0,0,0,1,0,1,0,0,0,0,0,0,0,NA
"222279","222",2,22,279,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"222279","222",2,22,279,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"222285","222",2,22,285,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"222285","222",2,22,285,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"227339","227",2,27,339,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"227340","227",2,27,340,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227338","227",2,27,338,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"227338","227",2,27,338,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"228353","228",2,28,353,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"228355","228",2,28,355,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228355","228",2,28,355,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228355","228",2,28,355,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228355","228",2,28,355,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228359","228",2,28,359,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"228359","228",2,28,359,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"228360","228",2,28,360,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"228360","228",2,28,360,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"228362","228",2,28,362,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"206072","206",2,6,72,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206072","206",2,6,72,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206065","206",2,6,65,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"205057","205",2,5,57,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"205064","205",2,5,64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"206076","206",2,6,76,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206076","206",2,6,76,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"213160","213",2,13,160,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"213161","213",2,13,161,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"213163","213",2,13,163,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"213168","213",2,13,168,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"216199","216",2,16,199,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
