cid,county,spid,segment,clan1,sname,est_pop,est_hh1,map,nsegment,nsample1,spInterval1,randomStart1,pop,est_hh2,district,clan2,vname,nvillage,spInterval2,randomStart2,coords,_coords_latitude,_coords_longitude,_coords_altitude,_coords_precision,instanceID,instanceName,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_review_status,_review_comment,_media_all_received,_xform_id
1,Urban Montserrado,2,4,Z1100 Rehab/Borbor Town,Segment  1,574,84,"https://www.google.co.uk/maps/place/6.23425417039307,-10.6697753864817",3,7,12,2,574,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.230526666666666 -10.669616666666665 19.5 5.0,6.230526666666666,-10.669616666666665,19.5,5.0,uuid:99697ffd-9da7-4eda-a578-1aa902d45f4d,VF-Urban Montserrado-Sampling Point 2-Segment/Village4,34076116,99697ffd-9da7-4eda-a578-1aa902d45f4d,2018-09-05T16:40:25,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,2,5,Z1100 Kende-jah,Segment  2,467,80,"https://www.google.co.uk/maps/place/6.23169326712187,-10.6753862877638",3,7,11,9,467,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.230519999999999 -10.66970833333333 17.0 5.0,6.230519999999999,-10.66970833333333,17.0,5.0,uuid:f8edb3b7-c367-41f5-b8c9-48ce8afc757c,VF-Urban Montserrado-Sampling Point 2-Segment/Village5,34078903,f8edb3b7-c367-41f5-b8c9-48ce8afc757c,2018-09-05T17:54:17,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,2,6,Z1100 Kende-jah,Segment  3,724,131,"https://www.google.co.uk/maps/place/6.23053044169502,-10.6701646331805",3,7,19,5,724,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.230341666666667 -10.668739999999998 57.8 4.7,6.230341666666667,-10.668739999999998,57.8,4.7,uuid:cae9cb6f-c6e9-45a4-907c-cca87ee9a677,VF-Urban Montserrado-Sampling Point 2-Segment/Village6,34079884,cae9cb6f-c6e9-45a4-907c-cca87ee9a677,2018-09-05T18:19:13,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,3,7,Z1100 Rehab/Borbor Town,Segment  1,373,83,"https://www.google.co.uk/maps/place/6.23386092766711,-10.6400481556092",3,7,12,9,373,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.232021666666666 -10.678638333333334 5.0 4.8,6.232021666666666,-10.678638333333334,5.0,4.8,uuid:d326a1b2-9e2a-454d-8bcb-54e0e4c220be,VF-Urban Montserrado-Sampling Point 3-Segment/Village7,34080276,d326a1b2-9e2a-454d-8bcb-54e0e4c220be,2018-09-05T18:31:51,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,3,8,Z1100 Rehab/Borbor Town,Segment  2,444,73,"https://www.google.co.uk/maps/place/6.23335325266165,-10.6355481629464",3,7,10,10,444,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.2357683333333345 -10.681666666666668 3.1 5.0,6.2357683333333345,-10.681666666666668,3.1,5.0,uuid:2af33ad7-4915-4dda-82a3-652f0b6d687d,VF-Urban Montserrado-Sampling Point 3-Segment/Village8,34080497,2af33ad7-4915-4dda-82a3-652f0b6d687d,2018-09-05T18:37:44,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,3,9,Z1100 Kende-jah,Segment  3,296,68,"https://www.google.co.uk/maps/place/6.22856821916824,-10.6427067410316",3,7,10,3,296,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.234204999999999 -10.68033 1.6 5.0,6.234204999999999,-10.68033,1.6,5.0,uuid:9d9ec79b-1c02-418c-a441-3fbfb62e7c2b,VF-Urban Montserrado-Sampling Point 3-Segment/Village9,34080706,9d9ec79b-1c02-418c-a441-3fbfb62e7c2b,2018-09-05T18:43:38,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,13,37,Z1200 Mangrove Island,Segment  1,382,75,"https://www.google.co.uk/maps/place/6.3195466667953,-10.7469671721658",3,7,11,8,382,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.321555000000001 -10.745041666666669 -140.7 4.9,6.321555000000001,-10.745041666666669,-140.7,4.9,uuid:7f5c4bca-eed4-4f56-a640-35b2f12a680a,VF-Urban Montserrado-Sampling Point 13-Segment/Village37,34080912,7f5c4bca-eed4-4f56-a640-35b2f12a680a,2018-09-05T18:56:03,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,5,13,Z1100 Paynesville Joe Bar,Segment  1,1039,208,"https://www.google.co.uk/maps/place/6.26032970251159,-10.6845950755415",3,7,30,8,1039,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.2676799999999995 -10.694446666666666 -27.0 4.9,6.2676799999999995,-10.694446666666666,-27.0,4.9,uuid:db7e74ee-d3c2-45e1-b4cb-33ec82a8f15f,VF-Urban Montserrado-Sampling Point 5-Segment/Village13,34096763,db7e74ee-d3c2-45e1-b4cb-33ec82a8f15f,2018-09-06T06:15:00,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,5,14,Z1100 Kpelle Town,Segment  2,555,98,"https://www.google.co.uk/maps/place/6.25879930546173,-10.6887589354048",3,7,14,7,555,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.24279 -10.69565 29.7 4.9,6.24279,-10.69565,29.7,4.9,uuid:1544948b-b1dc-49a8-bf5c-3687340d6de3,VF-Urban Montserrado-Sampling Point 5-Segment/Village14,34097103,1544948b-b1dc-49a8-bf5c-3687340d6de3,2018-09-06T06:22:01,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,5,15,Z1100 Kpelle Town,Segment  3,469,89,"https://www.google.co.uk/maps/place/6.25654412717225,-10.6887149849121",3,7,13,9,469,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.244016666666666 -10.696625 12.0 4.7,6.244016666666666,-10.696625,12.0,4.7,uuid:1a97f355-eac3-4b45-b6dc-87318717f096,VF-Urban Montserrado-Sampling Point 5-Segment/Village15,34097164,1a97f355-eac3-4b45-b6dc-87318717f096,2018-09-06T06:23:27,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
